text,genre,mood,depth
I want a psychological book that dives into emotions.,psychology,deep,medium
I want a cozy novel that feels like a safe place.,fiction,cozy,light
Recommend something philosophical but soft.,philosophy,soft,medium
I want a psychological book about inner strength.,psychology,deep,medium
Give me something gentle and uplifting.,self_help,soft,light
"I want a deep, slow novel that makes me think.",fiction,deep,medium
Recommend a self-help book with warm storytelling.,self_help,cozy,medium
I want something philosophical with emotional depth.,philosophy,deep,deep
I want a cozy story with wholesome characters.,fiction,cozy,light
Give me something introspective and healing.,psychology,soft,medium
I want a book with deep wisdom but simple writing.,philosophy,cozy,medium
"Recommend a soft, reflective self-help book.",self_help,soft,light
I want a dark novel exploring human flaws.,fiction,dark,deep
I want something cozy with light magical realism.,fiction,cozy,medium
Recommend something deep and existential.,philosophy,deep,deep
I want a gentle psychological book about recovery.,psychology,soft,medium
I want a self-help book that feels slow and grounding.,self_help,cozy,light
Give me a philosophical story that explores identity.,philosophy,deep,medium
I want a soft romance with calming energy.,fiction,soft,light
Recommend something cozy for a rainy day.,fiction,cozy,light
I want a deep analysis of human emotions.,psychology,deep,deep
I want something inspiring and peaceful.,self_help,soft,medium
Give me a story that feels thoughtful and quiet.,fiction,soft,medium
Recommend a philosophical book with a dark tone.,philosophy,dark,deep
I want a warm story with comforting vibes.,fiction,cozy,medium
I want a self-help book with spiritual lightness.,self_help,soft,medium
Give me a psychological novel with introspection.,psychology,deep,medium
I want something deep about life purpose.,philosophy,deep,deep
Recommend a light and cozy feel-good story.,fiction,cozy,light
I want a soft story with emotional depth.,fiction,soft,medium
Give me a philosophical reflection on happiness.,philosophy,cozy,medium
I want something dark and slow-paced.,fiction,dark,medium
Recommend a psychology book about self-awareness.,psychology,soft,medium
I want something cozy and uplifting before bed.,fiction,cozy,light
Give me a deep self-help book that isn’t too heavy.,self_help,cozy,medium
I want a philosophical novel with symbolic layers.,philosophy,deep,medium
Recommend something emotional and introspective.,fiction,deep,medium
I want something soft that feels comforting.,self_help,soft,light
I want a deep psychological book about trauma.,psychology,deep,deep
"Recommend a quiet, calm novel with soft themes.",fiction,soft,light
I want a dark philosophical book about existence.,philosophy,dark,deep
I want a cozy book that feels nostalgic.,fiction,cozy,medium
Give me something deep and mind-opening.,philosophy,deep,deep
I want a self-help book with gentle guidance.,self_help,soft,light
Recommend a psychological story about personal growth.,psychology,soft,medium
I want a deep emotional novel with poetic writing.,fiction,deep,deep
I want a cozy narrative with simple beauty.,fiction,cozy,light
Recommend a philosophical story that questions reality.,philosophy,deep,deep
"I want something soft, emotional, and peaceful.",fiction,soft,medium
I want a psychological book with quiet depth.,psychology,deep,medium
